"","X","dvcat","weight","dead","airbag","seatbelt","frontal","sex","ageOFocc","yearacc","yearVeh","abcat","occRole","deploy","injSeverity","caseid"
"23908",23908,"10-24",1547.13799999654,"alive","none","none",1,"f",50,2002,1992,"unavail","driver",0,1,"45:71:2"
"23909",23909,"25-39",3776.08399999142,"alive","none","none",1,"f",18,2002,1985,"unavail","driver",0,0,"45:72:1"
"23910",23910,"10-24",100.327999999747,"alive","airbag","belted",1,"m",31,2002,1995,"deploy","driver",1,2,"45:75:1"
"23915",23915,"25-39",42.3789999997243,"alive","airbag","belted",1,"m",28,2002,2000,"deploy","driver",1,0,"45:77:2"
"23917",23917,"40-54",61.3439999995753,"alive","airbag","belted",1,"f",36,2002,1996,"deploy","driver",1,3,"45:79:1"
"23920",23920,"40-54",61.3439999995753,"alive","none","none",1,"f",66,2002,1990,"unavail","driver",0,3,"45:81:1"
"23921",23921,"25-39",82.4139999998733,"alive","none","none",1,"f",42,2002,1992,"unavail","driver",0,3,"45:83:1"
"23923",23923,"10-24",82.4139999998733,"alive","airbag","none",0,"f",52,2002,1997,"nodeploy","driver",0,0,"45:84:1"
"23924",23924,"10-24",82.4139999998733,"alive","airbag","none",0,"m",44,2002,1997,"nodeploy","pass",0,0,"45:84:1"
"23925",23925,"10-24",82.4139999998733,"alive","none","none",1,"f",59,2002,1986,"unavail","driver",0,3,"45:84:2"
"23926",23926,"25-39",53.3419999997132,"alive","airbag","belted",0,"f",40,2002,1998,"deploy","driver",1,3,"45:86:1"
"23931",23931,"25-39",53.3419999997132,"alive","none","none",1,"m",31,2002,1989,"unavail","driver",0,2,"45:95:1"
"23933",23933,"1-9km/h",1983.29299999774,"alive","airbag","belted",0,"m",25,2002,1999,"nodeploy","driver",0,0,"45:96:2"
"23936",23936,"10-24",530.132999993861,"alive","airbag","none",1,"m",24,2002,2001,"nodeploy","driver",0,0,"45:100:1"
"23937",23937,"10-24",530.132999993861,"alive","airbag","none",1,"f",25,2002,2001,"nodeploy","pass",0,1,"45:100:1"
"23939",23939,"10-24",530.132999993861,"alive","airbag","belted",0,"m",25,2002,2000,"nodeploy","pass",0,0,"45:100:2"
"23940",23940,"25-39",1669.00099998713,"alive","airbag","belted",1,"m",19,2002,2001,"deploy","driver",1,0,"45:101:1"
"23941",23941,"25-39",1669.00099998713,"alive","none","belted",0,"m",20,2002,1989,"unavail","driver",0,0,"45:101:2"
"23942",23942,"25-39",46.9769999999553,"alive","airbag","belted",1,"f",36,2002,2001,"deploy","driver",1,3,"45:104:1"
"23947",23947,"40-54",46.3889999999665,"alive","airbag","belted",1,"m",41,2002,1999,"deploy","driver",1,2,"45:107:2"
"23949",23949,"55+",58.0379999997094,"alive","none","none",1,"m",50,2002,1979,"unavail","driver",0,3,"45:111:1"
"23952",23952,"25-39",41.8479999997653,"alive","airbag","belted",0,"f",23,2002,1999,"nodeploy","driver",0,3,"45:113:1"
"23953",23953,"10-24",41.8479999997653,"alive","airbag","belted",1,"f",87,2002,2001,"deploy","driver",1,2,"45:113:2"
"23955",23955,"25-39",256.042999997735,"alive","airbag","none",1,"m",82,2002,1994,"deploy","driver",1,1,"45:114:2"
"23956",23956,"25-39",256.042999997735,"alive","airbag","none",1,"f",79,2002,1994,"deploy","pass",1,1,"45:114:2"
"23957",23957,"25-39",2601.03999999166,"alive","none","belted",1,"f",46,2002,1994,"unavail","driver",0,0,"45:115:2"
"23958",23958,"25-39",2601.03999999166,"alive","none","none",1,"m",24,2002,1994,"unavail","pass",0,1,"45:115:2"
"23963",23963,"10-24",53.3419999997132,"alive","airbag","belted",1,"f",27,2002,1998,"deploy","driver",1,3,"45:121:1"
"23965",23965,"10-24",183.496999999508,"alive","airbag","none",0,"m",30,2002,1994,"nodeploy","driver",0,3,"45:123:1"
"23968",23968,"25-39",231.059999998659,"alive","airbag","belted",1,"f",21,2002,1999,"deploy","driver",1,1,"45:124:2"
"23969",23969,"10-24",727.438999995589,"alive","airbag","belted",1,"m",56,2002,2003,"nodeploy","driver",0,0,"45:125:2"
"23971",23971,"10-24",15526.8299999237,"alive","airbag","none",1,"m",55,2002,1993,"deploy","driver",1,2,"45:127:1"
"23972",23972,"25-39",69.6999999992549,"alive","none","none",1,"m",62,2002,1989,"unavail","driver",0,3,"45:128:1"
"23973",23973,"10-24",41.8479999997653,"alive","none","none",1,"f",25,2002,1985,"unavail","driver",0,0,"45:130:1"
"23974",23974,"25-39",41.8479999997653,"alive","airbag","belted",0,"f",63,2002,2001,"nodeploy","driver",0,3,"45:130:2"
"23979",23979,"55+",16.5379999999423,"dead","airbag","belted",1,"m",16,2002,2000,"deploy","driver",1,4,"45:135:1"
"23981",23981,"40-54",53.3419999997132,"alive","none","none",1,"f",50,2002,1988,"unavail","driver",0,3,"45:136:1"
"23984",23984,"10-24",3652.29399999976,"alive","airbag","belted",0,"f",31,2002,2001,"nodeploy","driver",0,0,"45:138:3"
"23985",23985,"10-24",3652.29399999976,"alive","airbag","belted",0,"f",57,2002,2001,"nodeploy","pass",0,0,"45:138:3"
"23987",23987,"10-24",53.3419999997132,"alive","airbag","belted",1,"m",67,2002,1998,"deploy","driver",1,3,"45:140:1"
"23988",23988,"10-24",41.8479999997653,"alive","airbag","belted",0,"f",53,2002,1999,"nodeploy","driver",0,3,"45:141:1"
"23989",23989,"10-24",41.8479999997653,"alive","airbag","belted",1,"m",17,2002,1999,"deploy","driver",1,0,"45:141:2"
"23990",23990,"10-24",41.8479999997653,"alive","airbag","belted",1,"f",17,2002,1999,"deploy","pass",1,2,"45:141:2"
"23995",23995,"25-39",53.3419999997132,"alive","none","belted",1,"f",21,2002,1991,"unavail","driver",0,3,"45:144:1"
"23997",23997,"25-39",53.3419999997132,"alive","none","none",1,"m",21,2002,1987,"unavail","driver",0,3,"45:144:2"
"24000",24000,"10-24",343.902999997139,"alive","airbag","belted",0,"m",32,2002,2000,"nodeploy","driver",0,2,"45:146:1"
"24001",24001,"55+",42.3789999997243,"dead","airbag","none",1,"f",18,2002,1994,"deploy","driver",1,4,"45:148:1"
"24003",24003,"55+",42.3789999997243,"dead","none","belted",1,"m",41,2002,1967,"unavail","driver",0,4,"45:148:2"
"24004",24004,"25-39",53.3419999997132,"alive","airbag","belted",1,"f",52,2002,1997,"deploy","driver",1,2,"45:149:2"
"24005",24005,"55+",53.3419999997132,"dead","airbag","belted",1,"f",48,2002,1997,"deploy","driver",1,3,"45:150:1"
"24006",24006,"25-39",51.054999999702,"alive","airbag","belted",0,"m",35,2002,2003,"nodeploy","driver",0,0,"45:151:1"
"24011",24011,"55+",57.8999999999069,"dead","airbag","none",0,"f",22,2002,1994,"nodeploy","driver",0,4,"45:153:2"
"24013",24013,"10-24",3762.56699997187,"alive","airbag","belted",0,"f",27,2002,2001,"nodeploy","driver",0,2,"45:154:1"
"24016",24016,"10-24",22.311999999918,"alive","airbag","none",1,"f",27,2002,2000,"deploy","driver",1,3,"45:155:1"
"24017",24017,"40-54",97.171999999322,"alive","airbag","none",1,"f",41,2002,1992,"deploy","driver",1,3,"45:156:1"
"24019",24019,"10-24",43.0569999995641,"alive","none","none",0,"f",38,2002,1985,"unavail","driver",0,2,"45:157:2"
"24020",24020,"55+",43.0569999995641,"dead","airbag","belted",1,"f",70,2002,1993,"deploy","driver",1,4,"45:158:1"
"24021",24021,"10-24",97.1839999994263,"alive","airbag","belted",0,"m",38,2002,1995,"nodeploy","driver",0,3,"45:159:2"
"24022",24022,"10-24",72.2609999999404,"alive","none","none",1,"m",32,2002,1989,"unavail","driver",0,3,"45:160:1"
"24027",24027,"10-24",18121.2399997711,"alive","none","belted",1,"f",25,2002,1986,"unavail","driver",0,0,"45:163:1"
"24029",24029,"40-54",81.3469999991357,"alive","airbag","belted",1,"m",65,2002,1994,"deploy","driver",1,3,"45:165:1"
"24032",24032,"40-54",53.3419999997132,"alive","none","belted",0,"f",20,2002,1993,"unavail","pass",0,3,"45:166:2"
"24033",24033,"40-54",53.3419999997132,"alive","airbag","belted",1,"m",40,2002,1995,"deploy","driver",1,3,"45:167:1"
"24035",24035,"10-24",491.118999999017,"alive","airbag","belted",0,"m",31,2002,2000,"nodeploy","driver",0,1,"45:168:2"
"24036",24036,"10-24",491.118999999017,"alive","airbag","belted",0,"m",36,2002,2000,"nodeploy","pass",0,1,"45:168:2"
"24037",24037,"10-24",1157.64899998903,"alive","airbag","belted",0,"f",38,2002,1992,"nodeploy","driver",0,1,"45:169:1"
"24038",24038,"10-24",1157.64899998903,"alive","airbag","belted",1,"f",63,2002,1995,"nodeploy","driver",0,0,"45:169:2"
"24043",24043,"25-39",2520.66099998355,"alive","airbag","belted",0,"m",18,2002,1997,"deploy","driver",1,1,"45:174:1"
"24045",24045,"10-24",167.707999998704,"alive","airbag","belted",0,"f",36,2002,1997,"nodeploy","driver",0,3,"45:175:1"
"24048",24048,"10-24",86.5919999992475,"alive","airbag","belted",1,"f",17,2002,2001,"nodeploy","driver",0,0,"45:182:1"
"24049",24049,"25-39",86.5919999992475,"alive","airbag","none",0,"f",23,2002,1995,"deploy","driver",1,3,"45:182:2"
"24051",24051,"40-54",86.5919999992475,"alive","airbag","belted",1,"m",20,2002,1995,"deploy","driver",1,2,"45:183:1"
"24052",24052,"40-54",86.5919999992475,"dead","airbag","none",1,"f",19,2002,1995,"deploy","pass",1,3,"45:183:1"
"24053",24053,"25-39",53.3419999997132,"alive","airbag","none",0,"m",43,2002,1994,"deploy","driver",1,2,"45:184:1"
"24054",24054,"25-39",53.3419999997132,"alive","airbag","belted",0,"f",21,2002,1994,"deploy","pass",1,3,"45:184:1"
"24059",24059,"25-39",158.425999999046,"alive","none","none",1,"m",58,2002,1990,"unavail","driver",0,3,"45:185:2"
"24061",24061,"10-24",1204.98199999332,"alive","airbag","belted",0,"f",37,2002,1994,"nodeploy","driver",0,2,"45:187:2"
"24064",24064,"10-24",2940.98899999261,"alive","none","belted",1,"m",28,2002,1998,"unavail","driver",0,0,"45:188:2"
"24065",24065,"40-54",42.3789999997243,"dead","none","belted",1,"m",61,2002,1989,"unavail","driver",0,4,"45:189:1"
"24067",24067,"10-24",6025.74399995804,"alive","airbag","belted",0,"f",23,2002,1999,"nodeploy","driver",0,0,"45:192:2"
"24068",24068,"10-24",83.9609999991953,"alive","none","belted",0,"m",20,2002,1985,"unavail","driver",0,NA,"45:196:1"
"24069",24069,"10-24",83.9609999991953,"alive","none","belted",0,"m",19,2002,1985,"unavail","pass",0,3,"45:196:1"
"24070",24070,"10-24",83.9609999991953,"alive","none","belted",1,"m",41,2002,1986,"unavail","driver",0,0,"45:196:2"
"24075",24075,"10-24",59.1709999996237,"alive","none","belted",0,"m",69,2002,1988,"unavail","driver",0,2,"45:198:3"
"24077",24077,"25-39",99.304999999702,"alive","none","none",1,"f",20,2002,1986,"unavail","driver",0,3,"45:201:1"
"24080",24080,"40-54",53.3419999997132,"alive","none","none",1,"f",18,2002,1985,"unavail","driver",0,3,"45:202:1"
"24081",24081,"40-54",53.3419999997132,"alive","none","none",1,"m",58,2002,1985,"unavail","pass",0,2,"45:202:1"
"24083",24083,"10-24",499.150999996811,"alive","airbag","belted",0,"f",50,2002,2001,"nodeploy","pass",0,2,"45:203:1"
"24084",24084,"10-24",499.150999996811,"alive","none","none",0,"m",44,2002,1978,"unavail","driver",0,0,"45:203:2"
"24085",24085,"10-24",1176.58199998736,"alive","none","belted",0,"m",47,2002,1989,"unavail","driver",0,0,"45:204:1"
"24086",24086,"10-24",1176.58199998736,"alive","none","belted",0,"m",16,2002,1989,"unavail","pass",0,1,"45:204:1"
"24091",24091,"25-39",56.186999999918,"alive","none","none",0,"f",19,2002,1992,"unavail","pass",0,3,"45:207:1"
"24093",24093,"10-24",55.4839999997057,"alive","airbag","belted",0,"m",55,2002,2000,"nodeploy","driver",0,3,"45:208:2"
"24096",24096,"25-39",41.8479999997653,"alive","airbag","none",1,"f",38,2002,2002,"deploy","driver",1,3,"45:210:2"
"24097",24097,"10-24",53.3419999997132,"alive","none","none",1,"f",63,2002,1987,"unavail","driver",0,3,"45:212:1"
"24099",24099,"10-24",53.3419999997132,"alive","airbag","belted",1,"f",39,2002,1993,"deploy","driver",1,3,"45:212:2"
"24100",24100,"25-39",48.6639999998733,"alive","none","belted",1,"m",22,2002,1984,"unavail","driver",0,0,"45:213:1"
"24101",24101,"25-39",48.6639999998733,"alive","none","belted",1,"m",25,2002,1984,"unavail","pass",0,0,"45:213:1"
"24102",24102,"25-39",48.6639999998733,"alive","airbag","belted",0,"f",61,2002,2002,"nodeploy","driver",0,3,"45:213:2"
"24107",24107,"10-24",3947.72399997711,"alive","none","belted",1,"m",18,2002,1991,"unavail","driver",0,0,"45:218:1"
"24109",24109,"25-39",53.3419999997132,"alive","none","none",1,"f",44,2002,1988,"unavail","driver",0,3,"45:220:1"
"24112",24112,"10-24",53.3419999997132,"alive","none","belted",1,"m",16,2002,1994,"unavail","pass",0,0,"45:221:1"
"24113",24113,"10-24",53.3419999997132,"alive","airbag","belted",0,"m",50,2002,1992,"nodeploy","driver",0,3,"45:221:2"
"24115",24115,"10-24",456.608999997377,"alive","none","none",1,"m",40,2002,1976,"unavail","driver",0,3,"45:223:1"
"24116",24116,"25-39",64.2889999998733,"alive","none","belted",1,"m",16,2002,1994,"unavail","driver",0,2,"45:225:1"
"24117",24117,"25-39",64.2889999998733,"alive","none","none",1,"m",20,2002,1994,"unavail","pass",0,2,"45:225:1"
"24118",24118,"25-39",64.2889999998733,"alive","airbag","none",0,"f",20,2002,2000,"nodeploy","driver",0,3,"45:225:2"
"24123",24123,"10-24",676.196999996901,"alive","none","belted",0,"m",42,2002,1994,"unavail","driver",0,0,"45:229:1"
"24125",24125,"10-24",1,"alive","airbag","belted",1,"f",45,2002,2000,"nodeploy","driver",0,0,"47:1:1"
"24128",24128,"25-39",1,"alive","none","belted",1,"f",33,2002,1983,"unavail","pass",0,0,"47:7:2"
"24129",24129,"10-24",1,"alive","airbag","belted",1,"m",25,2002,1999,"nodeploy","driver",0,0,"47:19:1"
"24131",24131,"10-24",1,"alive","airbag","belted",1,"f",20,2002,1999,"deploy","driver",1,2,"47:25:1"
"24132",24132,"10-24",1,"alive","airbag","belted",1,"f",55,2002,2001,"nodeploy","driver",0,0,"47:30:1"
"24133",24133,"10-24",1,"alive","airbag","none",1,"m",18,2002,2000,"deploy","driver",1,3,"47:33:1"
"24134",24134,"10-24",1,"alive","airbag","belted",0,"f",56,2002,1999,"deploy","driver",1,3,"47:35:1"
"24139",24139,"55+",1,"alive","airbag","none",1,"m",68,2002,2000,"deploy","pass",1,3,"47:39:2"
"24141",24141,"25-39",1,"alive","airbag","belted",1,"f",73,2002,1999,"deploy","pass",1,0,"47:43:1"
"24144",24144,"40-54",31.6809999998659,"alive","airbag","none",1,"f",17,2002,2000,"deploy","driver",1,3,"47:46:1"
"24145",24145,"10-24",70.2079999996349,"alive","airbag","belted",0,"f",35,2002,1999,"deploy","driver",1,2,"47:49:1"
"24147",24147,"10-24",166.697999998927,"alive","airbag","belted",0,"f",51,2002,2000,"nodeploy","driver",0,1,"47:52:1"
"24148",24148,"1-9km/h",166.697999998927,"alive","airbag","belted",1,"m",18,2002,2001,"nodeploy","driver",0,0,"47:52:2"
"24149",24149,"10-24",31.6809999998659,"alive","airbag","belted",0,"f",37,2002,1990,"nodeploy","driver",0,3,"47:55:1"
"24150",24150,"10-24",31.6809999998659,"alive","airbag","belted",1,"m",30,2002,2000,"nodeploy","driver",0,0,"47:55:2"
"24155",24155,"40-54",31.6809999998659,"alive","airbag","belted",1,"f",18,2002,1999,"deploy","driver",1,3,"47:62:2"
"24157",24157,"10-24",335.694999996573,"alive","airbag","belted",1,"m",19,2002,1995,"deploy","driver",1,0,"47:68:1"
"24160",24160,"40-54",48.0919999997132,"alive","airbag","belted",1,"m",16,2002,2000,"deploy","driver",1,3,"47:73:1"
"24161",24161,"25-39",48.0919999997132,"alive","airbag","none",1,"f",29,2002,1994,"deploy","driver",1,3,"47:73:2"
"24163",24163,"10-24",149.945999998599,"alive","airbag","belted",1,"f",16,2002,2002,"deploy","driver",1,0,"47:77:1"
"24164",24164,"10-24",149.945999998599,"alive","airbag","belted",1,"f",17,2002,2002,"deploy","pass",1,0,"47:77:1"
"24165",24165,"10-24",65.6359999999404,"alive","airbag","belted",1,"f",40,2002,2000,"deploy","driver",1,0,"47:78:1"
"24166",24166,"10-24",144.748999999836,"alive","airbag","belted",1,"f",74,2002,2000,"nodeploy","driver",0,0,"47:81:1"
"24171",24171,"10-24",346.837999999523,"alive","airbag","belted",1,"m",54,2002,2000,"nodeploy","driver",0,0,"47:85:3"
"24173",24173,"40-54",149.945999998599,"alive","airbag","belted",0,"m",19,2002,1998,"deploy","driver",1,0,"47:86:2"
"24176",24176,"10-24",166.697999998927,"alive","airbag","belted",1,"f",34,2002,2001,"nodeploy","driver",0,1,"47:96:2"
"24177",24177,"10-24",241.302999999374,"alive","airbag","belted",1,"m",23,2002,1997,"deploy","driver",1,0,"47:97:1"
"24179",24179,"10-24",171.058999998495,"alive","airbag","none",1,"f",42,2002,1999,"nodeploy","driver",0,0,"47:101:1"
"24180",24180,"10-24",171.058999998495,"alive","airbag","belted",0,"f",39,2002,1998,"nodeploy","driver",0,0,"47:101:2"
"24181",24181,"10-24",240.178999999538,"alive","none","none",0,"m",51,2002,1990,"unavail","driver",0,0,"47:106:1"
"24182",24182,"10-24",240.178999999538,"alive","airbag","belted",1,"f",16,2002,1999,"deploy","driver",1,0,"47:106:2"
"24187",24187,"10-24",149.945999998599,"alive","none","belted",0,"m",22,2002,1984,"unavail","driver",0,0,"47:118:2"
"24189",24189,"40-54",31.6809999998659,"alive","airbag","belted",1,"m",30,2002,1999,"nodeploy","pass",0,3,"47:125:1"
"24192",24192,"1-9km/h",257.711999997497,"alive","airbag","belted",1,"m",52,2002,2001,"nodeploy","driver",0,0,"47:129:2"
"24193",24193,"1-9km/h",257.711999997497,"alive","airbag","belted",1,"f",48,2002,2001,"nodeploy","pass",0,0,"47:129:2"
"24195",24195,"55+",33.1359999999404,"dead","airbag","none",1,"m",61,2002,2002,"deploy","driver",1,4,"47:134:1"
"24196",24196,"10-24",299.858999997377,"alive","airbag","belted",1,"m",22,2002,2000,"nodeploy","driver",0,0,"47:138:1"
"24197",24197,"25-39",31.6809999998659,"alive","airbag","none",1,"m",23,2002,1999,"deploy","driver",1,3,"47:139:1"
"24198",24198,"10-24",65.8959999997169,"alive","airbag","belted",0,"m",18,2002,2000,"nodeploy","driver",0,0,"47:141:2"
"24203",24203,"25-39",208.919999999925,"dead","airbag","belted",0,"f",43,2002,2000,"nodeploy","driver",0,4,"48:5:1"
"24205",24205,"25-39",208.919999999925,"alive","airbag","belted",1,"f",31,2002,1993,"deploy","driver",1,0,"48:5:2"
"24208",24208,"10-24",15459.6399999857,"alive","airbag","belted",0,"m",42,2002,1997,"nodeploy","driver",0,0,"48:7:2"
"24209",24209,"10-24",15459.6399999857,"alive","airbag","belted",0,"m",21,2002,1997,"nodeploy","pass",0,0,"48:7:2"
"24211",24211,"10-24",229.58199999854,"alive","none","belted",1,"f",29,2002,1994,"unavail","driver",0,3,"48:9:2"
"24212",24212,"10-24",229.58199999854,"alive","none","belted",0,"f",17,2002,1990,"unavail","driver",0,3,"48:10:1"
"24213",24213,"10-24",229.58199999854,"alive","none","belted",0,"f",16,2002,1990,"unavail","pass",0,3,"48:10:1"
"24214",24214,"10-24",229.58199999854,"alive","airbag","belted",1,"f",19,2002,1996,"deploy","driver",1,3,"48:10:2"
"24219",24219,"40-54",332.216999996454,"alive","airbag","none",0,"m",26,2002,1999,"nodeploy","driver",0,3,"48:15:3"
"24221",24221,"25-39",161.67699999921,"alive","none","none",1,"m",28,2002,1981,"unavail","driver",0,1,"48:18:1"
"24224",24224,"10-24",161.67699999921,"alive","none","belted",1,"f",20,2002,1991,"unavail","pass",0,0,"48:19:1"
"24225",24225,"10-24",3618.21499997377,"alive","airbag","belted",1,"m",21,2002,1994,"deploy","driver",1,0,"48:20:1"
"24227",24227,"1-9km/h",8032.65299999714,"alive","airbag","belted",0,"f",62,2002,1997,"nodeploy","driver",0,0,"48:21:1"
"24228",24228,"10-24",8032.65299999714,"alive","airbag","belted",1,"m",18,2002,1994,"nodeploy","driver",0,0,"48:21:2"
"24229",24229,"10-24",584.584999993443,"dead","airbag","none",0,"f",22,2002,1994,"deploy","driver",1,4,"48:22:1"
"24230",24230,"10-24",584.584999993443,"alive","airbag","none",0,"f",40,2002,1994,"deploy","pass",1,3,"48:22:1"
"24235",24235,"25-39",193.793999999762,"alive","none","belted",0,"m",27,2002,1990,"unavail","driver",0,3,"48:28:1"
"24237",24237,"10-24",193.793999999762,"alive","airbag","belted",1,"f",24,2002,2000,"deploy","driver",1,3,"48:31:1"
"24240",24240,"10-24",355.689999997616,"alive","airbag","none",1,"m",19,2002,1993,"deploy","driver",1,3,"48:33:1"
"24241",24241,"10-24",355.689999997616,"alive","airbag","belted",0,"f",45,2002,1998,"deploy","driver",1,0,"48:33:2"
"24243",24243,"10-24",20081.629999876,"alive","airbag","belted",0,"f",21,2002,1996,"nodeploy","pass",0,0,"48:34:2"
"24244",24244,"10-24",193.793999999762,"alive","airbag","belted",1,"f",61,2002,2000,"deploy","driver",1,3,"48:36:1"
"24245",24245,"10-24",193.793999999762,"alive","airbag","belted",1,"f",23,2002,2000,"deploy","pass",1,1,"48:36:1"
"24246",24246,"10-24",193.793999999762,"alive","airbag","belted",0,"f",47,2002,2002,"deploy","driver",1,1,"48:36:2"
"24251",24251,"10-24",246.947999998927,"alive","airbag","belted",0,"f",50,2002,2001,"nodeploy","driver",0,3,"48:39:2"
"24253",24253,"10-24",1468.6779999882,"alive","airbag","none",1,"f",37,2002,2000,"deploy","driver",1,3,"48:40:2"
"24256",24256,"10-24",275.186999998987,"alive","airbag","belted",1,"f",35,2002,1998,"deploy","pass",1,0,"48:47:1"
"24257",24257,"10-24",275.186999998987,"alive","airbag","belted",0,"m",22,2002,1999,"deploy","driver",1,3,"48:47:2"
"24259",24259,"10-24",1607.07399998605,"alive","none","belted",1,"f",60,2002,1986,"unavail","driver",0,3,"48:48:2"
"24260",24260,"10-24",1607.07399998605,"alive","none","belted",1,"f",23,2002,1986,"unavail","pass",0,3,"48:48:2"
"24261",24261,"10-24",476.73199999705,"alive","none","none",0,"m",22,2002,1992,"unavail","driver",0,3,"48:50:1"
"24262",24262,"10-24",476.73199999705,"alive","none","none",0,"f",17,2002,1992,"unavail","pass",0,3,"48:50:1"
"24267",24267,"10-24",453.144999999553,"alive","airbag","belted",1,"f",41,2002,2000,"deploy","driver",1,3,"48:53:2"
"24269",24269,"55+",198.250999998301,"alive","airbag","none",1,"m",46,2002,1999,"deploy","driver",1,3,"48:56:1"
"24272",24272,"25-39",220.527999999002,"alive","airbag","belted",1,"f",19,2002,1998,"deploy","driver",1,3,"48:57:2"
"24273",24273,"25-39",887.331999994814,"alive","airbag","none",0,"f",41,2002,1999,"nodeploy","driver",0,0,"48:59:1"
"24275",24275,"25-39",887.331999994814,"alive","none","none",1,"m",58,2002,1986,"unavail","driver",0,3,"48:59:2"
"24276",24276,"25-39",887.331999994814,"alive","none","belted",1,"f",43,2002,1986,"unavail","pass",0,3,"48:59:2"
"24277",24277,"25-39",161.67699999921,"alive","none","belted",1,"f",17,2002,1991,"unavail","driver",0,3,"48:60:1"
"24278",24278,"10-24",161.67699999921,"alive","none","belted",0,"m",17,2002,1986,"unavail","driver",0,3,"48:60:2"
"24283",24283,"10-24",473.686999998987,"alive","airbag","belted",0,"f",16,2002,2000,"nodeploy","pass",0,1,"48:65:1"
"24285",24285,"10-24",2766.30099999905,"alive","airbag","none",1,"m",47,2002,1998,"deploy","driver",1,0,"48:66:1"
"24288",24288,"55+",208.919999999925,"dead","none","belted",1,"m",32,2002,1987,"unavail","driver",0,4,"48:68:1"
"24289",24289,"25-39",408.073999997228,"alive","airbag","belted",1,"f",19,2002,1997,"deploy","driver",1,0,"48:70:1"
"24291",24291,"10-24",2383.125,"alive","airbag","belted",1,"m",17,2002,1998,"deploy","driver",1,3,"48:71:1"
"24292",24292,"25-39",198.593999998644,"alive","none","none",1,"m",28,2002,1990,"unavail","driver",0,3,"48:72:1"
"24293",24293,"10-24",198.593999998644,"alive","none","belted",0,"m",46,2002,1989,"unavail","driver",0,3,"48:72:2"
"24294",24294,"10-24",198.593999998644,"alive","none","belted",0,"f",51,2002,1989,"unavail","pass",0,3,"48:72:2"
"24299",24299,"55+",208.919999999925,"dead","airbag","belted",0,"f",49,2002,1997,"nodeploy","driver",0,4,"48:77:2"
"24301",24301,"55+",193.793999999762,"alive","none","belted",1,"m",56,2002,1986,"unavail","driver",0,3,"48:78:1"
"24304",24304,"10-24",367.284999996424,"alive","airbag","belted",0,"f",51,2002,2000,"nodeploy","driver",0,3,"48:79:2"
"24305",24305,"10-24",367.284999996424,"alive","none","none",1,"m",36,2002,1994,"unavail","driver",0,0,"48:80:1"
"24307",24307,"25-39",2144.92099997401,"alive","none","none",0,"m",22,2002,1988,"unavail","driver",0,3,"48:81:1"
"24308",24308,"10-24",2144.92099997401,"alive","none","none",1,"m",25,2002,1988,"unavail","driver",0,0,"48:81:2"
"24309",24309,"10-24",348.634999997914,"alive","airbag","belted",1,"m",23,2002,1997,"deploy","driver",1,3,"48:82:1"
"24310",24310,"25-39",348.634999997914,"dead","none","belted",1,"m",29,2002,1987,"unavail","driver",0,4,"48:82:2"
"24315",24315,"10-24",572.520999997854,"alive","airbag","belted",1,"f",18,2002,2001,"nodeploy","driver",0,3,"48:84:1"
"24317",24317,"55+",250.477999998257,"alive","airbag","none",0,"m",19,2002,2002,"nodeploy","pass",0,3,"48:85:1"
"24320",24320,"25-39",193.793999999762,"alive","none","belted",1,"f",56,2002,1989,"unavail","driver",0,3,"48:87:2"
"24321",24321,"25-39",193.793999999762,"alive","none","belted",1,"f",23,2002,1989,"unavail","pass",0,3,"48:87:2"
"24323",24323,"40-54",161.67699999921,"alive","airbag","belted",1,"f",61,2002,1997,"deploy","driver",1,3,"48:88:2"
"24324",24324,"25-39",291.018999997526,"alive","none","belted",1,"m",48,2002,1991,"unavail","driver",0,0,"48:89:1"
"24325",24325,"25-39",291.018999997526,"alive","none","belted",1,"f",57,2002,1991,"unavail","pass",0,3,"48:89:1"
"24326",24326,"25-39",291.018999997526,"alive","airbag","belted",1,"f",34,2002,1995,"deploy","driver",1,3,"48:89:2"
"24331",24331,"10-24",161.67699999921,"alive","airbag","belted",1,"f",75,2002,1996,"deploy","driver",1,3,"48:93:1"
"24333",24333,"25-39",272.158999998122,"alive","airbag","none",0,"m",64,2002,2001,"nodeploy","driver",0,3,"48:97:1"
"24336",24336,"25-39",302.740999996662,"alive","none","belted",0,"m",49,2002,1994,"unavail","driver",0,0,"48:98:1"
"24337",24337,"25-39",302.740999996662,"alive","none","belted",0,"f",42,2002,1994,"unavail","pass",0,0,"48:98:1"
"24339",24339,"25-39",302.740999996662,"alive","airbag","belted",1,"m",16,2002,1999,"deploy","pass",1,0,"48:98:2"
"24340",24340,"40-54",302.740999996662,"alive","airbag","none",1,"m",20,2002,1998,"deploy","driver",1,3,"48:99:1"
"24341",24341,"25-39",302.740999996662,"alive","airbag","belted",1,"m",41,2002,1996,"deploy","driver",1,0,"48:99:2"
"24342",24342,"10-24",230.229999998584,"alive","none","belted",1,"f",19,2002,1993,"unavail","driver",0,3,"48:100:1"
"24347",24347,"25-39",283.473999999464,"alive","none","belted",1,"f",56,2002,1989,"unavail","driver",0,3,"48:113:1"
"24349",24349,"10-24",2666.06099998951,"alive","none","none",1,"m",24,2002,1994,"unavail","driver",0,0,"48:115:2"
